person,purpose,event,ID,per_lover,per_friend,per_sibling,per_parents,per_bus,emo_thx,emo_cong,emo_cheer,emo_love,emo_event,end
친구,감사,서프라이즈,111,1,5,1,1,1,7,1,1,1,4,N
친구,감사,기념일,112,1,5,1,1,1,7,3,1,1,2,N
친구,축하,입학식,123,1,5,1,1,1,1,8,2,1,2,N
친구,축하,졸업식,124,1,5,1,1,1,1,8,2,1,2,N
친구,축하,생일,125,1,5,1,1,1,1,9,1,1,2,N
친구,축하,서프라이즈,121,1,5,1,1,1,1,7,1,1,4,N
친구,축하,기념일,122,1,5,1,1,1,1,9,1,1,2,N
친구,축하,공연/전시,126,1,5,1,1,1,1,9,2,1,1,N
친구,축하,취직/개업,127,1,5,1,1,1,1,8,3,1,1,N
친구,응원,취직/개업,137,1,5,1,1,1,1,2,9,1,1,N
친구,응원,입학식,133,1,5,1,1,1,1,2,8,1,2,N
친구,응원,졸업식,134,1,5,1,1,1,1,2,8,1,2,N
친구,응원,서프라이즈,131,1,5,1,1,1,1,1,7,1,4,N
친구,응원,기념일,132,1,5,1,1,1,1,3,7,1,2,N
친구,응원,공연/전시,136,1,5,1,1,1,1,3,8,1,1,N
친구,이벤트,입학식,153,1,5,1,1,1,1,2,2,1,8,N
친구,이벤트,졸업식,154,1,5,1,1,1,1,2,2,1,8,N
친구,이벤트,생일,155,1,5,1,1,1,1,3,1,1,8,N
친구,이벤트,서프라이즈,151,1,5,1,1,1,1,1,1,1,10,N
친구,이벤트,기념일,152,1,5,1,1,1,1,3,1,1,8,N
친구,이벤트,공연/전시,156,1,5,1,1,1,1,3,2,1,7,N
친구,이벤트,취직/개업,157,1,5,1,1,1,1,2,3,1,7,N
연인,감사,서프라이즈,211,5,1,1,1,1,7,1,1,1,4,N
연인,감사,기념일,212,5,1,1,1,1,7,3,1,1,2,N
연인,축하,취직/개업,227,5,1,1,1,1,1,8,3,1,1,N
연인,축하,입학식,223,5,1,1,1,1,1,8,2,1,2,N
연인,축하,졸업식,224,5,1,1,1,1,1,8,2,1,2,N
연인,축하,서프라이즈,221,5,1,1,1,1,1,7,1,1,4,N
연인,축하,생일,225,5,1,1,1,1,1,9,1,1,2,N
연인,축하,공연/전시,226,5,1,1,1,1,1,9,2,1,1,N
연인,응원,취직/개업,237,5,1,1,1,1,1,2,9,1,1,N
연인,응원,졸업식,234,5,1,1,1,1,1,2,8,1,2,N
연인,응원,입학식,233,5,1,1,1,1,1,2,8,1,2,N
연인,응원,서프라이즈,231,5,1,1,1,1,1,1,7,1,4,N
연인,응원,공연/전시,236,5,1,1,1,1,1,3,8,1,1,N
연인,이벤트,입학식,253,5,1,1,1,1,1,2,2,1,8,N
연인,이벤트,졸업식,254,5,1,1,1,1,1,2,2,1,8,N
연인,이벤트,생일,255,5,1,1,1,1,1,3,1,1,8,N
연인,이벤트,서프라이즈,251,5,1,1,1,1,1,1,1,1,10,N
연인,이벤트,기념일,252,5,1,1,1,1,1,3,1,1,8,N
연인,이벤트,공연/전시,256,5,1,1,1,1,1,3,2,1,7,N
연인,이벤트,취직/개업,257,5,1,1,1,1,1,2,3,1,7,N
연인,사랑,기념일,242,5,1,1,1,1,1,3,1,7,2,N
연인,사랑,졸업식,244,5,1,1,1,1,1,2,2,7,2,N
연인,사랑,입학식,243,5,1,1,1,1,1,2,2,7,2,N
연인,사랑,서프라이즈,241,5,1,1,1,1,1,1,1,7,4,N
연인,사랑,생일,245,5,1,1,1,1,1,3,1,7,2,N
부모님,감사,기념일,312,1,1,1,5,1,7,3,1,1,2,N
부모님,감사,어버이날,318,1,1,1,5,1,9,1,1,2,1,N
부모님,축하,생일,325,1,1,1,5,1,1,9,1,1,2,N
부모님,축하,서프라이즈,321,1,1,1,5,1,1,7,1,1,4,N
부모님,축하,기념일,322,1,1,1,5,1,1,9,1,1,2,N
부모님,이벤트,생일,355,1,1,1,5,1,1,3,1,1,8,N
부모님,이벤트,기념일,352,1,1,1,5,1,1,3,1,1,8,N
부모님,이벤트,서프라이즈,351,1,1,1,5,1,1,1,1,1,10,N
부모님,이벤트,어버이날,358,1,1,1,5,1,3,1,1,2,7,N
부모님,사랑,생일,345,1,1,1,5,1,1,3,1,7,2,N
부모님,사랑,기념일,342,1,1,1,5,1,1,3,1,7,2,N
부모님,사랑,서프라이즈,341,1,1,1,5,1,1,1,1,7,4,N
부모님,사랑,어버이날,348,1,1,1,5,1,3,1,1,8,1,N
선생님,감사,스승의날,419,1,1,1,5,1,9,1,1,2,1,N
선생님,축하,생일,425,1,1,1,5,1,1,9,1,1,2,N
선생님,이벤트,생일,455,1,1,1,5,1,1,3,1,1,8,N
선생님,이벤트,스승의날,459,1,1,1,5,1,3,1,1,2,7,N
비즈니스,축하,공연/전시,526,1,1,1,1,5,1,9,1,1,2,N
비즈니스,축하,기념일,522,1,1,1,1,5,1,9,1,1,2,N
비즈니스,응원,공연/전시,536,1,1,1,1,5,1,3,8,1,1,N
비즈니스,응원,기념일,532,1,1,1,1,5,1,3,7,1,2,N
